#Freeway,Station,Lanetype,Absolute_Postmile,Lanes,Direction,District,Name,California_Postmile,Latitude,Longitude
SR57-N,1202146,ML,2.646,4,a,12,BALL 1,13.38,33.81772,-117.876254
I405-S,1201143,HOV,2.65,1,d,12,SAND CANYON,2.88,33.657534,-117.778085
I405-S,1201145,ML,2.65,4,d,12,SAND CANYON,2.88,33.657534,-117.778085
I405-N,1213966,HOV,2.66,1,a,12,SAND CANYON 1,2.89,33.657928,-117.777952
I405-N,1213963,ML,2.66,4,a,12,SAND CANYON 1,2.89,33.657928,-117.777952
I405-N,1201157,HOV,2.76,2,a,12,SAND CANYON,2.99,33.658747,-117.77939
SR57-N,1202170,HOV,2.766,1,a,12,BALL 2,13.5,33.819435,-117.87605
SR57-S,1202158,HOV,2.801,1,d,12,BALL 2,13.45,33.818721,-117.876349
SR57-S,1202160,ML,2.801,4,d,12,BALL 2,13.45,33.818721,-117.876349
I405-N,1201159,ML,2.81,5,a,12,SAND CANYON,3.04,33.659163,-117.780107
I105-E,773658,HOV,2.82,1,a,7,SB 405 TO EB 105,R2.82,33.933059,-118.356686
I105-E,773656,ML,2.82,3,a,7,SB 405 TO EB 105,R2.82,33.933059,-118.356686
SR57-N,1202172,ML,2.826,4,a,12,BALL 2,13.56,33.820297,-117.875999
SR134-W,761025,HOV,2.86,1,d,7,BUENA VISTA,2.86,34.153625,-118.327063
SR134-W,717572,ML,2.86,4,d,7,BUENA VISTA,2.86,34.153625,-118.327063
SR22-E,1214852,HOV,2.867,1,a,12,VIA LOS ALISOS,R1.41,33.774239,-118.029233
SR22-E,1214853,ML,2.867,3,a,12,VIA LOS ALISOS,R1.41,33.774239,-118.029233
SR134-E,760994,HOV,3.04,1,a,7,BUENA VISTA,3.04,34.154023,-118.324031
SR134-E,717573,ML,3.04,4,a,7,BUENA VISTA,3.04,34.154023,-118.324031
SR170-N,765608,HOV,3.046,1,a,7,BURBANK,R15.96,34.171717,-118.388072
SR170-S,717609,HOV,3.046,1,d,7,BURBANK,R15.96,34.171634,-118.388333
SR170-N,764106,ML,3.046,4,a,7,BURBANK,R15.96,34.171717,-118.388072
SR170-S,717608,ML,3.046,4,d,7,BURBANK,R15.96,34.171634,-118.388333
I405-N,1209187,HOV,3.08,1,a,12,N OF SAND CANYON,3.31,33.661319,-117.784046
I405-S,1209190,HOV,3.08,1,d,12,N OF SAND CANYON,3.31,33.660957,-117.784273
I405-N,1209059,ML,3.08,4,a,12,N OF SAND CYN,3.31,33.661319,-117.784046
I405-S,1209189,ML,3.08,4,d,12,N OF SAND CANYON,3.31,33.660957,-117.784273
I605-N,767321,HOV,3.082,1,a,7,WARDLOW,R1.03,33.821171,-118.081273
I605-S,766522,HOV,3.082,1,d,7,WARDLOW,R1.03,33.821152,-118.081557
