#Freeway,Station,Lanetype,Absolute_Postmile,Lanes,Direction,District,Name,California_Postmile,Latitude,Longitude
I405-N,717709,ML,27.388,5,a,7,LAKEWOOD 2,3.44,33.806208,-118.144497
I210-E,761105,HOV,27.63,1,a,7,ALLEN,R27.65,34.152301,-118.109239
I210-E,717640,ML,27.63,5,a,7,ALLEN,R27.65,34.152301,-118.109239
I405-N,764661,HOV,27.768,1,a,7,REDONDO,3.82,33.807173,-118.150983
I405-S,764663,HOV,27.768,1,d,7,REDONDO,3.82,33.806934,-118.151138
I405-N,716632,ML,27.768,5,a,7,REDONDO,3.82,33.807173,-118.150983
I405-S,717710,ML,27.768,5,d,7,REDONDO,3.82,33.806934,-118.151138
I10-W,717150,ML,27.84,5,d,7,PECK,29.34,34.068078,-118.030663
I10-W,768741,HOV,27.849,1,d,7,PECK,29.349,34.068084,-118.030506
I10-E,768743,HOV,28.01,1,a,7,VALLEY,29.51,34.067963,-118.027743
I10-E,717152,ML,28.01,4,a,7,VALLEY,29.51,34.067963,-118.027743
I210-W,717643,HOV,28.03,1,d,7,ALTADENA,R28.05,34.1527,-118.102255
I210-W,717642,ML,28.03,5,d,7,ALTADENA,R28.05,34.1527,-118.102255
I10-W,768746,HOV,28.111,1,d,7,VALLEY,29.611,34.068199,-118.025926
I10-W,717154,ML,28.111,5,d,7,VALLEY,29.611,34.068199,-118.025926
I405-N,771847,HOV,28.158,1,a,7,TEMPLE,4.21,33.809267,-118.157166
I405-S,771848,HOV,28.158,1,d,7,TEMPLE,4.21,33.809074,-118.157336
I405-N,771845,ML,28.158,5,a,7,TEMPLE,4.21,33.809267,-118.157166
I405-S,771846,ML,28.158,5,d,7,TEMPLE,4.21,33.809074,-118.157336
I210-W,717645,HOV,28.27,1,d,7,SAN GABRIEL,R28.29,34.152727,-118.098063
I210-W,717644,ML,28.27,5,d,7,SAN GABRIEL,R28.29,34.152727,-118.098063
I405-S,718236,HOV,28.418,1,d,7,SPRING,4.47,33.811173,-118.161074
I405-S,718235,ML,28.418,5,d,7,SPRING,4.47,33.811173,-118.161074
I10-E,768751,HOV,28.48,1,a,7,STEWART,29.98,34.06699,-118.019773
I10-W,768752,HOV,28.48,1,d,7,STEWART,29.98,34.067198,-118.019674
I10-E,717155,ML,28.48,4,a,7,STEWART,29.98,34.06699,-118.019773
I10-W,767329,ML,28.48,4,d,7,STEWART,29.98,34.067198,-118.019674
I405-N,718442,HOV,28.518,1,a,7,SPRING,4.57,33.812037,-118.162485
I405-N,717711,ML,28.518,4,a,7,SPRING,4.57,33.812037,-118.162485
I210-E,761109,HOV,28.68,1,a,7,SAN GABRIEL,R28.7,34.151406,-118.091041
I210-E,717646,ML,28.68,5,a,7,SAN GABRIEL,R28.7,34.151406,-118.091041
SR60-E,766568,HOV,28.681,1,a,7,E/O PHILLIP RANCH RD,R28.54,34.024204,-117.762443
SR60-W,766570,HOV,28.681,1,d,7,E/O PHILLIP RANCH RD,R28.54,34.024575,-117.762375
SR60-E,766569,ML,28.681,4,a,7,E/O PHILLIP RANCH RD,R28.54,34.024204,-117.762443
SR60-W,766571,ML,28.681,4,d,7,E/O PHILLIP RANCH RD,R28.54,34.024575,-117.762375
I405-N,762528,HOV,28.758,1,a,7,CHERRY 1,4.81,33.813266,-118.166414
I405-S,762584,HOV,28.758,1,d,7,CHERRY 1,4.81,33.813053,-118.166482
I405-N,717713,ML,28.758,4,a,7,CHERRY 1,4.81,33.813266,-118.166414
I405-S,718238,ML,28.758,5,d,7,CHERRY 1,4.81,33.813053,-118.166482
I405-N,762531,HOV,28.868,1,a,7,CHERRY 2,4.92,33.813802,-118.168227
I405-N,717715,ML,28.868,4,a,7,CHERRY 2,4.92,33.813802,-118.168227
SR60-E,766599,HOV,29.111,1,a,7,E/B 60 W/O 71,R28.97,34.024058,-117.755124
SR60-W,766601,HOV,29.111,1,d,7,W/B 60 W/O 71,R28.97,34.024322,-117.755055
SR60-E,766600,ML,29.111,4,a,7,E/B 60 W/O 71,R28.97,34.024058,-117.755124
SR60-W,766602,ML,29.111,4,d,7,W/B 60 W/O 71,R28.97,34.024322,-117.755055
I210-W,761325,HOV,29.17,1,d,7,SIERRA MADRE V1,R29.19,34.148074,-118.08377
I210-W,717649,ML,29.17,5,d,7,SIERRA MADRE V1,R29.19,34.148074,-118.08377
I10-E,717158,HOV,29.19,1,a,7,DURFEE,30.69,34.063981,-118.008051
I10-W,718331,HOV,29.19,1,d,7,DURFEE RD,30.69,34.064175,-118.008013
I10-E,717156,ML,29.19,4,a,7,DURFEE,30.69,34.063981,-118.008051
I10-W,717157,ML,29.19,4,d,7,DURFEE RD,30.69,34.064175,-118.008013
SR60-E,766643,HOV,29.291,1,a,7,RTE 71 / GAREY AVE 1,R29.15,34.023384,-117.752093
SR60-W,766641,HOV,29.291,1,d,7,RTE 71 / GAREY AVE 1,R29.15,34.02362,-117.75203
SR60-E,766644,ML,29.291,4,a,7,RTE 71 / GAREY AVE 1,R29.15,34.023384,-117.752093
SR60-W,766642,ML,29.291,4,d,7,RTE 71 / GAREY AVE 1,R29.15,34.02362,-117.75203
I405-S,762586,HOV,29.328,1,d,7,ORANGE,5.38,33.814193,-118.176143
I405-S,718240,ML,29.328,4,d,7,ORANGE,5.38,33.814193,-118.176143
I405-N,762533,HOV,29.408,1,a,7,ORANGE,5.46,33.814416,-118.177538
I405-N,717717,ML,29.408,5,a,7,ORANGE,5.46,33.814416,-118.177538
I210-E,761112,HOV,29.44,1,a,7,SIERRA MADRE V2,R29.46,34.147621,-118.079037
I210-E,717650,ML,29.44,5,a,7,SIERRA MADRE V2,R29.46,34.147621,-118.079037
SR60-E,766619,HOV,29.651,1,a,7,RTE 71 / GAREY AVE 2,R29.51,34.023534,-117.745774
SR60-W,766621,HOV,29.651,1,d,7,RTE 71 / GAREY AVE 2,R29.51,34.023776,-117.745822
SR60-E,766620,ML,29.651,4,a,7,RTE 71 / GAREY AVE 2,R29.51,34.023534,-117.745774
SR60-W,766622,ML,29.651,4,d,7,RTE 71 / GAREY AVE 2,R29.51,34.023776,-117.745822
I405-N,762535,HOV,29.762,1,a,7,ATLANTIC 1,5.99,33.814996,-118.183577
I405-N,717719,ML,29.762,5,a,7,ATLANTIC 1,5.99,33.814996,-118.183577
I405-S,762588,HOV,29.772,1,d,7,ATLANTIC 1,6,33.814807,-118.183838
I405-S,718243,ML,29.772,5,d,7,ATLANTIC 1,6,33.814807,-118.183838
SR60-E,766584,HOV,29.871,1,a,7,W/O TOWNE AVE,R29.73,34.024073,-117.742058
SR60-W,766586,HOV,29.871,1,d,7,W/O TOWNE AVE,R29.73,34.024354,-117.742097
SR60-E,766585,ML,29.871,4,a,7,W/O TOWNE AVE,R29.73,34.024073,-117.742058
SR60-W,766587,ML,29.871,4,d,7,W/O TOWNE AVE,R29.73,34.024354,-117.742097
I210-W,761431,HOV,29.879,1,d,7,ROSEMEAD 1,R29.59,34.148737,-118.071321
I210-W,717653,ML,29.879,5,d,7,ROSEMEAD 1,R29.59,34.148737,-118.071321
I405-S,762590,HOV,29.922,1,d,7,ATLANTIC 2,6.15,33.815698,-118.186295
I405-S,718242,ML,29.922,5,d,7,ATLANTIC 2,6.15,33.815698,-118.186295
I210-W,761428,HOV,29.999,1,d,7,ROSEMEAD 2,R29.71,34.148823,-118.069206
I210-W,717657,ML,29.999,4,d,7,ROSEMEAD 2,R29.71,34.148823,-118.069206
I210-E,737490,HOV,30.029,1,a,7,ROSEMEAD 1,R29.74,34.148522,-118.068683
I210-E,717654,ML,30.029,4,a,7,ROSEMEAD 1,R29.74,34.148522,-118.068683
I405-N,764676,HOV,30.042,1,a,7,LONG BEACH,6.27,33.816753,-118.18802
I405-N,717720,ML,30.042,4,a,7,LONG BEACH,6.27,33.816753,-118.18802
I210-W,761327,HOV,30.139,1,d,7,MICHILLINDA,R29.85,34.148876,-118.066773
I210-W,717661,ML,30.139,4,d,7,MICHILLINDA,R29.85,34.148876,-118.066773
I405-S,762592,HOV,30.192,1,d,7,LONG BEACH,6.42,33.818022,-118.190184
I405-S,718245,ML,30.192,5,d,7,LONG BEACH,6.42,33.818022,-118.190184
I215-S,819956,HOV,30.294,1,d,8,BOX SPRINGS,R38.627,33.945872,-117.297571
I215-S,819957,ML,30.294,4,d,8,BOX SPRINGS,R38.627,33.945872,-117.297571
I210-E,717641,HOV,30.299,1,a,7,MICHILLINDA,R30.01,34.148554,-118.064055
I210-E,717659,ML,30.299,4,a,7,MICHILLINDA,R30.01,34.148554,-118.064055
I405-N,717722,HOV,30.332,1,a,7,WARDLOW,6.56,33.819612,-118.191829
I405-N,717721,ML,30.332,5,a,7,WARDLOW,6.56,33.819612,-118.191829
SR60-W,766829,HOV,30.335,1,d,7,RESERVOIR,R30.194,34.025041,-117.73416
SR60-W,765461,ML,30.335,4,d,7,RESERVOIR,R30.194,34.025041,-117.73416
I215-S,819905,HOV,30.441,1,d,8,BOX SPRINGS SB ON,R38.774,33.946908,-117.299605
I215-S,816150,ML,30.441,5,d,8,BOX SPRINGS SB ON,R38.774,33.946908,-117.299605
SR60-E,766844,HOV,30.512,1,a,7,RESERVOIR,R30.371,34.024861,-117.730929
SR60-E,766843,ML,30.512,4,a,7,RESERVOIR,R30.371,34.024861,-117.730929
I405-N,771865,HOV,30.552,1,a,7,PACIFIC 1,6.78,33.821489,-118.195048
I405-S,771866,HOV,30.552,1,d,7,PACIFIC 1,6.78,33.821302,-118.195219
I405-N,771863,ML,30.552,6,a,7,PACIFIC 1,6.78,33.821489,-118.195048
I405-S,771864,ML,30.552,5,d,7,PACIFIC 1,6.78,33.821302,-118.195219
I210-E,773155,HOV,30.689,1,a,7,VAQUERO,R30.4,34.148585,-118.057432
I210-W,773180,HOV,30.689,1,d,7,VAQUERO,R30.4,34.148892,-118.057432
I210-E,773154,ML,30.689,5,a,7,VAQUERO,R30.4,34.148585,-118.057432
I210-W,773179,ML,30.689,4,d,7,VAQUERO,R30.4,34.148892,-118.057432
I210-W,761329,HOV,30.779,1,d,7,BALDWIN 1,R30.49,34.14889,-118.055903
I210-W,717663,ML,30.779,4,d,7,BALDWIN 1,R30.49,34.14889,-118.055903
SR60-E,809925,HOV,30.977,1,a,8,END AVE,0.38,34.0259,-117.723013
SR60-E,809912,ML,30.977,4,a,8,END AVE,0.38,34.0259,-117.723013
I405-N,717725,HOV,30.992,1,a,7,PACIFIC,7.22,33.824899,-118.20179
I405-S,764556,HOV,30.992,1,d,7,PACIFIC,7.22,33.824728,-118.201883
I405-N,717723,ML,30.992,4,a,7,PACIFIC,7.22,33.824899,-118.20179
I405-S,717724,ML,30.992,4,d,7,PACIFIC,7.22,33.824728,-118.201883
I210-W,717665,HOV,30.999,1,d,7,BALDWIN 2,R30.71,34.148916,-118.052166
I210-W,717664,ML,30.999,4,d,7,BALDWIN 2,R30.71,34.148916,-118.052166
I210-E,761115,HOV,31.239,1,a,7,BALDWIN,R30.95,34.148636,-118.048053
I210-E,717667,ML,31.239,4,a,7,BALDWIN,R30.95,34.148636,-118.048053
I215-S,816107,HOV,31.4,1,d,8,CENTRAL AVE SB ON,39.426,33.958259,-117.308745
I215-S,816106,ML,31.4,4,d,8,CENTRAL AVE SB ON,39.426,33.958259,-117.308745
I405-N,771876,HOV,31.402,1,a,7,SO. OF 710,7.63,33.826587,-118.208548
I405-S,771878,HOV,31.402,1,d,7,SO. OF 710,7.63,33.826384,-118.20858
I405-N,771877,ML,31.402,3,a,7,SO. OF 710,7.63,33.826587,-118.208548
I405-S,771879,ML,31.402,3,d,7,SO. OF 710,7.63,33.826384,-118.20858
I215-S,819894,HOV,31.626,1,d,8,CENTRAL/WATKINS,39.652,33.960216,-117.311857
I215-S,819893,ML,31.626,5,d,8,CENTRAL/WATKINS,39.652,33.960216,-117.311857
SR60-E,809953,HOV,31.677,1,a,8,PIPELINE,1.08,34.02986,-117.711844
SR60-E,809952,ML,31.677,4,a,8,PIPELINE,1.08,34.02986,-117.711844
SR60-W,806479,HOV,31.766,1,d,8,RAMONA,R1.169,34.030239,-117.710395
SR60-W,801337,ML,31.766,4,d,8,RAMONA,R1.169,34.030239,-117.710395
I5-S,1122560,ML,31.773,4,d,11,5 SB N/O Carmel Mt,R31.915,32.918796,-117.235719
SR60-E,801338,ML,31.789,4,a,8,RAMONA,R1.192,34.030011,-117.70991
I405-N,762538,HOV,31.792,1,a,7,SANTA FE,8.02,33.825614,-118.215047
I405-N,717727,ML,31.792,4,a,7,SANTA FE,8.02,33.825614,-118.215047
I5-N,1122553,HOV,31.807,1,a,11,5 NB N/O Carmel Mtn,R31.916,32.918909,-117.235565
I5-N,1122552,ML,31.807,6,a,11,5 NB N/O Carmel Mtn,R31.916,32.918909,-117.235565
I405-S,762594,HOV,31.822,1,d,7,SANTA FE,8.05,33.825332,-118.215513
I405-S,718247,ML,31.822,4,d,7,SANTA FE,8.05,33.825332,-118.215513
I5-S,1122561,HOV,31.851,1,d,11,5 SB N/O Carmel Mt,R31.993,32.919669,-117.236554
I210-W,717670,HOV,32.019,1,d,7,SANTA ANITA 1,R31.73,34.148355,-118.034499
I210-W,717669,ML,32.019,4,d,7,SANTA ANITA 1,R31.73,34.148355,-118.034499
SR60-E,806476,HOV,32.064,1,a,8,RAMONA,R1.467,34.030054,-117.705128
I210-W,764144,HOV,32.199,1,d,7,SANTA ANITA 2,R31.91,34.14791,-118.031417
I210-W,764146,ML,32.199,4,d,7,SANTA ANITA 2,R31.91,34.14791,-118.031417
I405-S,771899,HOV,32.222,1,d,7,RIVER AVE,8.45,33.82515,-118.222222
I405-S,771897,ML,32.222,5,d,7,RIVER AVE,8.45,33.82515,-118.222222
I5-S,1122584,HOV,32.324,1,d,11,5 SB HOV S/O 56,R32.466,32.925907,-117.239661
I5-S,1122583,ML,32.324,5,d,11,5 SB S/O 56,R32.466,32.925907,-117.239661
I210-E,761117,HOV,32.349,1,a,7,SANTA ANITA 2,R32.06,34.146752,-118.029146
I210-E,717672,ML,32.349,4,a,7,SANTA ANITA 2,R32.06,34.146752,-118.029146
I215-N,816114,HOV,32.356,1,a,8,N/O BOX SPRINGS RD,40.382,33.963201,-117.323648
I215-N,816113,ML,32.356,4,a,8,N/O BOX SPRINGS RD,40.382,33.963201,-117.323648
I5-N,1122576,HOV,32.357,1,a,11,5 NB S/O 56,R32.466,32.925983,-117.23942
I5-N,1122575,ML,32.357,6,a,11,5 NB S/O 56,R32.466,32.925983,-117.23942
I405-S,762596,HOV,32.402,1,d,7,ALAMEDA,8.63,33.825229,-118.225244
I405-S,718249,ML,32.402,5,d,7,ALAMEDA,8.63,33.825229,-118.225244
I405-N,762541,HOV,32.462,1,a,7,ALAMEDA,8.69,33.825518,-118.226232
I405-N,717729,ML,32.462,5,a,7,ALAMEDA,8.69,33.825518,-118.226232
I215-N,820671,HOV,32.734,1,a,8,MLK SB ON,40.76,33.96742,-117.327473
I215-S,816062,HOV,32.734,1,d,8,MLK SB ON,40.76,33.96725,-117.327701
I215-N,820672,ML,32.734,3,a,8,MLK SB ON,40.76,33.96742,-117.327473
I215-S,816061,ML,32.734,4,d,8,MLK SB ON,40.76,33.96725,-117.327701
SR60-W,806470,HOV,32.762,1,d,8,CENTRAL,R2.165,34.030386,-117.693001
I210-E,773195,HOV,32.789,1,a,7,E OF SECOND,R32.5,34.143558,-118.022467
I210-W,773196,HOV,32.789,1,d,7,E OF SECOND,R32.5,34.143728,-118.022315
I210-E,773193,ML,32.789,4,a,7,E OF SECOND,R32.5,34.143558,-118.022467
I210-W,773194,ML,32.789,4,d,7,E OF SECOND,R32.5,34.143728,-118.022315
I5-N,1108437,ML,32.792,4,a,11,CARMEL VALLEY RD,R32.901,32.932231,-117.241029
I5-N,1108436,HOV,32.796,1,a,11,CARMEL VALLEY RD,R32.905,32.932284,-117.241039
I405-N,771917,HOV,32.862,1,a,7,WESTWARD,9.09,33.825932,-118.233155
I405-S,771916,HOV,32.862,1,d,7,WESTWARD,9.09,33.825703,-118.233178
I405-N,771915,ML,32.862,5,a,7,WESTWARD,9.09,33.825932,-118.233155
I405-S,771914,ML,32.862,5,d,7,WESTWARD,9.09,33.825703,-118.233178
I215-N,816048,HOV,32.903,1,a,8,MARTIN LUTHER KING,40.929,33.969488,-117.328982
I215-S,819779,HOV,32.903,1,d,8,MARTIN LUTHER KING,40.929,33.969353,-117.32916
I215-N,816047,ML,32.903,3,a,8,MARTIN LUTHER KING,40.929,33.969488,-117.328982
I215-S,819780,ML,32.903,4,d,8,MARTIN LUTHER KING,40.929,33.969353,-117.32916
I210-W,761339,HOV,33.049,1,d,7,HUNTINGTON 1,R32.76,34.141791,-118.018365
I210-W,761342,ML,33.049,4,d,7,HUNTINGTON 1,R32.76,34.141791,-118.018365
SR60-E,806473,HOV,33.128,1,a,8,CENTRAL,R2.531,34.030151,-117.686621
SR60-W,801347,ML,33.128,4,d,8,CENTRAL,R2.531,34.030408,-117.686616
SR60-E,801346,ML,33.139,4,a,8,CENTRAL,R2.542,34.030152,-117.68643
I210-E,761126,HOV,33.149,1,a,7,HUNTINGTON 1,R32.86,34.140676,-118.017243
I210-E,761128,ML,33.149,4,a,7,HUNTINGTON 1,R32.86,34.140676,-118.017243
I405-N,762543,HOV,33.242,1,a,7,WILMINGTON,9.47,33.825976,-118.240051
I405-S,762598,HOV,33.242,1,d,7,WILMINGTON,9.47,33.825757,-118.24005
I405-N,718251,ML,33.242,4,a,7,WILMINGTON,9.47,33.825976,-118.240051
I405-S,717731,ML,33.242,4,d,7,WILMINGTON,9.47,33.825757,-118.24005
I210-E,761138,HOV,33.379,1,a,7,HUNTINGTON 2,R33.09,34.138178,-118.014556
I210-E,761141,ML,33.379,4,a,7,HUNTINGTON 2,R33.09,34.138178,-118.014556
SR118-W,773668,HOV,33.411,1,d,7,ROCKY PEAK 1,R32.48,34.268605,-118.634966
SR118-W,772092,ML,33.411,3,d,7,ROCKY PEAK 1,R32.48,34.268605,-118.634966
I215-S,816034,HOV,33.425,1,d,8,UNIVERSITY AVE SB ON,41.451,33.975118,-117.334939
I215-S,816033,ML,33.425,3,d,8,UNIVERSITY AVE SB ON,41.451,33.975118,-117.334939
SR91-E,1208194,HOV,33.483,2,a,12,East OF WEIR,15.11,33.869894,-117.73308
SR91-E,1208180,ML,33.483,5,a,12,East OF WEIR,R15.11,33.869894,-117.73308
SR91-W,1208196,HOV,33.523,2,d,12,East OF WEIR,15.11,33.870372,-117.733445
SR91-W,1208190,ML,33.523,5,d,12,East OF WEIR,R15.11,33.870372,-117.733445
I215-N,816021,HOV,33.538,1,a,8,UNIVERSITY,41.564,33.976477,-117.336049
I215-N,801586,ML,33.549,4,a,8,UNIVERSITY,41.575,33.976598,-117.336172
I405-S,771926,HOV,33.802,1,d,7,LUCERNE ST,10.03,33.826193,-118.24972
I405-S,771925,ML,33.802,4,d,7,LUCERNE ST,10.03,33.826193,-118.24972
SR118-E,772489,HOV,33.961,1,a,7,E/O  ROCKY PEAK,R.43,34.273908,-118.627732
SR118-W,772490,HOV,33.961,1,d,7,E/O  ROCKY PEAK,R.43,34.274157,-118.627753
SR118-E,772487,ML,33.961,4,a,7,E/O  ROCKY PEAK,R.43,34.273908,-118.627732
SR118-W,772488,ML,33.961,4,d,7,E/O  ROCKY PEAK,R.43,34.274157,-118.627753
SR60-W,806467,HOV,34.019,1,d,8,MOUNTAIN,R3.422,34.030502,-117.671087
I210-W,761353,HOV,34.049,1,d,7,MYRTLE AV,R33.76,34.135576,-118.003558
I210-W,761356,ML,34.049,4,d,7,MYRTLE AV,R33.76,34.135576,-118.003558
I215-S,816010,HOV,34.118,1,d,8,BLAINE ST SB ON,42.144,33.982732,-117.342665
I215-S,816009,ML,34.118,3,d,8,BLAINE ST SB ON,42.144,33.982732,-117.342665
SR91-E,1208212,HOV,34.143,2,a,12,West OF GYPSUM,15.793,33.866822,-117.722179
SR91-E,1208199,ML,34.143,4,a,12,West OF GYPSUM,R15.793,33.866822,-117.722179
I5-S,1119284,HOV,34.169,1,d,11,5SB HOV DEL MAR HTS,R34.311,32.952468,-117.244298
I5-S,1119528,ML,34.169,5,d,11,WB Del Mar Heights,R34.311,32.952468,-117.244298
SR91-W,1208214,HOV,34.206,2,d,12,West OF GYPSUM,R15.793,33.867126,-117.722277
SR91-W,1208208,ML,34.206,4,d,12,West OF GYPSUM,R15.793,33.867126,-117.722277
I215-N,816004,HOV,34.219,1,a,8,BLAINE,42.245,33.983955,-117.343692
I215-N,801589,ML,34.219,5,a,8,BLAINE,42.245,33.983955,-117.343692
I405-S,718254,HOV,34.262,1,d,7,CARSON,10.49,33.830851,-118.255253
I405-S,718253,ML,34.262,4,d,7,CARSON,10.49,33.830851,-118.255253
SR60-E,806447,HOV,34.37,1,a,8,MOUNTAIN,R3.773,34.030267,-117.664967
SR60-W,801353,ML,34.37,4,d,8,MOUNTAIN,R3.773,34.03052,-117.66496
SR60-E,801352,ML,34.386,4,a,8,MOUNTAIN,R3.789,34.030268,-117.664687
I405-N,762545,HOV,34.432,1,a,7,CARSON,10.66,33.832936,-118.25697
I405-N,717733,ML,34.432,4,a,7,CARSON,10.66,33.832936,-118.25697
I210-E,761149,HOV,34.439,1,a,7,MYRTLE AV,R34.15,34.135316,-117.996727
I210-E,761152,ML,34.439,4,a,7,MYRTLE AV,R34.15,34.135316,-117.996727
I210-E,773170,HOV,34.489,1,a,7,CALIFORNIA,R34.2,34.135301,-117.995852
I210-W,773171,HOV,34.489,1,d,7,CALIFORNIA,R34.2,34.135583,-117.995864
I210-E,773168,ML,34.489,4,a,7,CALIFORNIA,R34.2,34.135301,-117.995852
I210-W,773169,ML,34.489,4,d,7,CALIFORNIA,R34.2,34.135583,-117.995864
SR60-E,809969,HOV,34.587,1,a,8,SAN ANTONIO,3.99,34.030289,-117.661169
SR60-E,809968,ML,34.587,4,a,8,SAN ANTONIO,3.99,34.030289,-117.661169
SR118-E,765921,HOV,34.631,1,a,7,INVERSON RD,R1.1,34.276428,-118.616547
SR118-W,765923,HOV,34.631,1,d,7,INVERSON RD,R1.1,34.276649,-118.616557
SR118-E,765920,ML,34.631,4,a,7,INVERSON RD,R1.1,34.276428,-118.616547
SR118-W,765922,ML,34.631,4,d,7,INVERSON RD,R1.1,34.276649,-118.616557
I405-N,771941,HOV,34.672,1,a,7,213TH ST,10.9,33.835595,-118.259571
I405-S,771940,HOV,34.672,1,d,7,213TH ST,10.9,33.835431,-118.259732
I405-N,771939,ML,34.672,4,a,7,213TH ST,10.9,33.835595,-118.259571
I405-S,771938,ML,34.672,4,d,7,213TH ST,10.9,33.835431,-118.259732
I210-W,761363,HOV,34.899,1,d,7,MOUNTAIN AV,R34.61,34.135547,-117.988695
I210-W,718210,ML,34.899,4,d,7,MOUNTAIN AV,R34.61,34.135547,-117.988695
SR60-W,806425,HOV,34.984,1,d,8,EUCLID,R4.387,34.03055,-117.654217
SR60-W,801355,ML,34.984,4,d,8,EUCLID,R4.387,34.03055,-117.654217
SR60-E,801356,ML,34.995,4,a,8,EUCLID,R4.398,34.030314,-117.654027
SR60-E,820118,HOV,35.005,1,a,8,EUCLID,R4.408,34.030314,-117.653851
I405-N,764565,HOV,35.092,1,a,7,AVALON,11.32,33.840237,-118.264144
I405-S,718257,HOV,35.092,1,d,7,AVALON,11.32,33.840128,-118.264312
I405-N,717735,ML,35.092,4,a,7,AVALON,11.32,33.840237,-118.264144
I405-S,718256,ML,35.092,4,d,7,AVALON,11.32,33.840128,-118.264312
SR118-W,760827,HOV,35.241,1,d,7,TOPANGA CYN,R1.71,34.277998,-118.606079
SR118-W,760828,ML,35.241,4,d,7,TOPANGA CYN,R1.71,34.277998,-118.606079
I210-E,761161,HOV,35.409,1,a,7,MOUNTAIN,R35.12,34.135219,-117.979798
I210-W,761371,HOV,35.409,1,d,7,BUENA VISTA,R35.12,34.135484,-117.97979
I210-E,761165,ML,35.409,4,a,7,MOUNTAIN,R35.12,34.135219,-117.979798
I210-W,761374,ML,35.409,4,d,7,BUENA VISTA,R35.12,34.135484,-117.97979
SR118-E,717526,HOV,35.481,1,a,7,TOPANGA CYN,R1.95,34.276735,-118.602125
SR118-E,717525,ML,35.481,4,a,7,TOPANGA CYN,R1.95,34.276735,-118.602125
I405-N,764659,HOV,35.592,1,a,7,TRUCK SCALE 1,11.82,33.845809,-118.269724
I405-S,766494,HOV,35.592,1,d,7,TRUCK SCALE 1,11.82,33.845636,-118.269942
I405-N,716659,ML,35.592,5,a,7,TRUCK SCALE 1,11.82,33.845809,-118.269724
I405-S,766493,ML,35.592,5,d,7,TRUCK SCALE 1,11.82,33.845636,-118.269942
I210-E,761174,HOV,35.649,1,a,7,BUENA VISTA,R35.36,34.135237,-117.975628
I210-E,761177,ML,35.649,4,a,7,BUENA VISTA,R35.36,34.135237,-117.975628
SR118-E,765979,HOV,35.731,1,a,7,CANOGA AVE,R2.2,34.275246,-118.598163
SR118-W,765977,HOV,35.731,1,d,7,CANOGA AVE,R2.2,34.275485,-118.598169
SR118-E,765978,ML,35.731,5,a,7,CANOGA AVE,R2.2,34.275246,-118.598163
SR118-W,765976,ML,35.731,5,d,7,CANOGA AVE,R2.2,34.275485,-118.598169
I405-N,766506,HOV,35.822,1,a,7,TRUCK SCALE 2,12.05,33.848064,-118.272687
I405-S,764657,HOV,35.822,1,d,7,TRUCK SCALE 2,12.05,33.847883,-118.272889
I405-N,766505,ML,35.822,5,a,7,TRUCK SCALE 2,12.05,33.848064,-118.272687
I405-S,716660,ML,35.822,5,d,7,TRUCK SCALE 2,12.05,33.847883,-118.272889
SR60-E,809978,HOV,35.887,1,a,8,CAMPUS,5.29,34.030369,-117.638482
SR60-E,809977,ML,35.887,4,a,8,CAMPUS,5.29,34.030369,-117.638482
I210-E,769703,HOV,36.089,1,a,7,HIGHLAND,R35.8,34.135426,-117.967987
I210-W,769704,HOV,36.089,1,d,7,HIGHLAND,R35.8,34.13568,-117.967942
I210-E,769701,ML,36.089,4,a,7,HIGHLAND,R35.8,34.135426,-117.967987
I210-W,769702,ML,36.089,4,d,7,HIGHLAND,R35.8,34.13568,-117.967942
I5-N,1122734,HOV,36.123,1,a,11,VIA DE LA VALLE,R36.232,32.979357,-117.252719
I5-N,1108509,ML,36.123,4,a,11,EB VIA DE LA VALLE,R36.232,32.979357,-117.252719
I5-S,1108468,ML,36.135,4,d,11,WB VIA DE LA VALLE,R36.277,32.979922,-117.253241
I5-S,1120314,HOV,36.137,1,d,11,VIA DE LA VALLE,R36.279,32.97995,-117.253251
SR60-W,806403,HOV,36.279,1,d,8,GROVE,R5.682,34.030622,-117.631663
I210-W,769723,HOV,36.289,1,d,7,NB 605 TO WB 210 CON,R36,34.135685,-117.964445
I210-W,769722,ML,36.289,4,d,7,NB 605 TO WB 210 CON,R36,34.135685,-117.964445
SR60-W,801361,ML,36.31,4,d,8,GROVE,R5.713,34.030623,-117.631124
SR118-E,717531,HOV,36.331,1,a,7,DE SOTO,R2.8,34.273354,-118.588108
SR118-W,760832,HOV,36.331,1,d,7,DE SOTO,R2.8,34.273553,-118.588111
SR118-E,717530,ML,36.331,4,a,7,DE SOTO,R2.8,34.273354,-118.588108
SR118-W,717528,ML,36.331,4,d,7,DE SOTO,R2.8,34.273553,-118.588111
I405-N,717738,HOV,36.342,1,a,7,MAIN,12.57,33.852884,-118.279686
I405-S,718260,HOV,36.342,1,d,7,MAIN,12.57,33.852707,-118.279831
I405-N,718259,ML,36.342,5,a,7,MAIN,12.57,33.852884,-118.279686
I405-S,718258,ML,36.342,5,d,7,MAIN,12.57,33.852707,-118.279831
SR91-E,1213690,HOV,36.35,2,a,12,W of COAL,18,33.871539,-117.68647
SR91-E,1213680,ML,36.35,5,a,12,W of COAL,18,33.871539,-117.68647
