# Time-series
# t	r	v	r_1_P	v_1_P	r_1_L	v_1_L	r_1	v_1	...
343	4.4576	97.586	3.2432	111	0	0	3.2432	111	6.8041	97	0.6383	94	7.4419	96.75	0	0	4.7191	89	4.7191	89	2.5263	95	0	0	2.5263	95
344	3.9962	93.84	2.069	116	0	0	2.069	116	3.3962	106	0.73171	82	4.0947	102.57	1.3483	89	5.6471	85	6.993	85.8	1.5	80	1.6438	73	3.1373	76.5
345	5.2933	93.515	2.4793	121	0	0	2.4793	121	4.8	100	1.3333	90	6.1224	98	0.69767	86	7.7647	85	8.4623	85.083	2.1687	83	2.3377	77	4.5	80
346	3.219	97.857	1.1111	108	0	0	1.1111	108	4.0385	104	0.67416	89	4.7001	102.12	1.8947	95	2.7586	87	4.6445	90.429	1.8	100	0.67416	89	2.4679	97.25
347	3.8612	97.12	2.8037	107	0	0	2.8037	107	4.7059	102	0.69767	86	5.388	100.22	0.57143	105	4.7727	88	5.3259	90.125	2	90	0	0	2	90
348	4.7684	97.516	3.8889	108	0	0	3.8889	108	5.2941	102	1.4286	84	6.6851	98.727	0.74074	81	4.5161	93	5.2459	91.5	2.5806	93	0.77922	77	3.3408	89.8
349	4.8082	96.71	3.0508	118	0	0	3.0508	118	7.0588	102	0.65934	91	7.711	101.15	1.4815	81	4.0909	88	5.5652	86.25	2.5	72	0.86957	69	3.3684	71.25
350	5.0698	97.636	5.4545	110	0	0	5.4545	110	7.0213	94	1.3793	87	8.394	92.923	1.8182	99	3.5294	85	5.3186	90.25	0.61856	97	0.63158	95	1.25	96
351	6.8523	96.318	4.6552	116	0	0	4.6552	116	10	96	1.3636	88	11.355	95.111	0	0	7.5	88	7.5	88	3.4884	86	0.71429	84	4.2023	85.667
352	5.1352	96.394	4.2857	112	0	0	4.2857	112	4.2857	98	1.3043	92	5.5862	96.667	0.58252	103	8.2759	87	8.8405	88.231	1.3187	91	0.69767	86	2.0149	89.333
353	5.1449	96.212	1.2	100	0	0	1.2	100	9	100	0	0	9	100	3.7895	95	4.0909	88	7.8689	91.5	1.8	100	0.77922	77	2.5464	94.25
354	5.8438	94.973	3.3333	108	0	0	3.3333	108	7.8788	99	0.68966	87	8.559	98.143	3.4091	88	6.8182	88	10.227	88	1.3953	86	0	0	1.3953	86
355	6.015	97.256	5.6075	107	0	0	5.6075	107	7.9592	98	0.68966	87	8.6407	97.214	4.4681	94	2.7273	88	7.1881	91.818	2.7273	88	0	0	2.7273	88
356	5.643	98.351	4.8649	111	0	0	4.8649	111	6.9903	103	0.68966	87	7.6644	101.77	1.2371	97	5.4545	88	6.6815	89.8	2.7907	86	0.8	75	3.58	83.8
357	6.4488	95.366	5.9459	111	0	0	5.9459	111	7.5	96	1.9565	92	9.4538	95.2	1.3187	91	7.9518	83	9.2603	84.231	1.4458	83	0	0	1.4458	83
358	5.5369	97.528	2.8302	106	0	0	2.8302	106	8.4906	106	0.68966	87	9.1592	104.81	0.69767	86	6.1364	88	6.8337	87.8	2.093	86	1.4286	84	3.5211	85.2
359	5.9213	96.263	3.8532	109	0	0	3.8532	109	9.2784	97	0.66667	90	9.9417	96.562	3.1579	95	5.4545	88	8.6005	90.692	0.71429	84	0.68966	87	1.4035	85.5
360	4.8716	95.452	1.6364	110	0	0	1.6364	110	6.4078	103	0	0	6.4078	103	2.6966	89	6.8966	87	9.5922	87.571	2	90	0	0	2	90
361	9.2943	96.833	12.115	104	0	0	12.115	104	8.2105	95	1.3187	91	9.5272	94.467	7.4157	89	3.4884	86	10.901	88.062	3.4951	103	1.3187	91	4.8	100
362	4.9951	96.094	4.8649	111	0	0	4.8649	111	5	96	1.978	91	6.9741	94.636	1.978	91	5.6471	85	7.618	86.636	0.73171	82	0	0	0.73171	82
363	5.7569	96.405	5.1429	105	0	0	5.1429	105	8.5714	98	0.66667	90	9.2339	97.467	3.8298	94	4.186	86	8	90	0.75	80	0	0	0.75	80
364	5.1834	101.29	4.3243	111	0	0	4.3243	111	8.3168	101	0.58252	103	8.8991	101.13	3.1579	95	3.956	91	7.1107	92.818	0.5042	119	0	0	0.5042	119
365	7.8027	96.12	7.9245	106	0.54054	111	8.4639	106.33	7.3469	98	2.5806	93	9.9225	96.75	4.6154	91	6.2791	86	10.886	88.188	2.1429	84	0	0	2.1429	84
366	9.2843	93.707	11.176	102	0	0	11.176	102	11.875	96	0.61856	97	12.493	96.05	2.8571	84	7.4074	81	10.262	81.857	2.7907	86	0.69767	86	3.4884	86
367	6.709	96.14	5.8252	103	0	0	5.8252	103	12.121	99	0.70588	85	12.814	98.333	3.956	91	3.5714	84	7.5155	87.818	0.82192	73	0	0	0.82192	73
368	8.8158	93.582	8.4112	107	0	0	8.4112	107	8.2105	95	4.6667	90	12.869	93.25	2.6966	89	8.6747	83	11.361	84.5	0.82192	73	2.1429	84	2.9538	81.25
369	9.7019	94.311	15	100	0	0	15	100	7.7419	93	2.6374	91	10.378	92.5	5.2747	91	5.3333	90	10.608	90.5	2.2222	81	0.73171	82	2.9538	81.25
370	9.9227	92.213	13.2	100	0	0	13.2	100	12.527	91	2.093	86	14.615	90.318	2.6374	91	7.8571	84	10.481	85.867	0.81081	74	0.78947	76	1.6	75
371	11.042	96.451	14.706	102	1.7476	103	16.453	102.11	11.134	97	2.5532	94	13.685	96.455	5.8065	93	4.9412	85	10.726	89.5	3.4483	87	0	0	3.4483	87
372	8.0893	96.423	8.972	107	0	0	8.972	107	12	95	0	0	12	95	4.7191	89	6.2069	87	10.925	87.875	0.65934	91	0	0	0.65934	91
373	9.7946	90.356	11.02	98	0	0	11.02	98	14.505	91	0.76923	78	15.26	90.435	0.78947	76	9.2857	84	10.068	83.429	0.75949	79	2.25	80	3.0094	79.75
374	8.3132	93.827	10.385	104	0	0	10.385	104	5.4545	99	2.093	86	7.5196	95.75	5.2747	91	2.8916	83	8.1509	88.333	2.8571	84	4.6753	77	7.5188	79.8
375	6.7517	93.31	6.9903	103	0	0	6.9903	103	8.5714	91	1.3636	88	9.9338	90.6	2.6374	91	5.5814	86	8.2129	87.667	1.2121	99	0.81081	74	1.9853	90.667
376	10.968	87.531	15.957	94	0.65217	92	16.609	93.923	11.724	87	0.67416	89	12.398	87.111	8.8889	81	4.6753	77	13.556	79.667	1.519	79	0	0	1.519	79
377	14.808	80.025	20.964	83	0	0	20.964	83	18.072	83	1.4286	84	19.501	83.074	6.6667	72	6.4	75	13.061	73.5	4.1667	72	1.7647	68	5.9274	70.857
378	11.573	82.953	20.455	88	0	0	20.455	88	13.5	80	1.4458	83	14.944	80.3	2.3377	77	7.1053	76	9.4426	76.25	1.6216	74	0	0	1.6216	74
379	12.095	83.09	14.667	90	0.70588	85	15.37	89.783	15.75	80	3	80	18.75	80	3.0769	78	7.5949	79	10.672	78.714	3.75	80	0	0	3.75	80
380	13.534	82.014	20.714	84	0.75	80	21.463	83.867	14.286	84	3.0769	78	17.349	83	3.038	79	8.4615	78	11.499	78.267	1.5385	78	2.3377	77	3.876	77.4
381	8.2907	88.653	9.7826	92	0.61224	98	10.392	92.375	13.256	86	0.6	100	13.841	86.7	0.63158	95	6.8966	87	7.5233	87.727	0.70588	85	0.73171	82	1.4371	83.5
382	13.471	79.056	17.857	84	0	0	17.857	84	20.26	77	2.4324	74	22.689	76.69	5.3846	78	6.3158	76	11.698	76.933	0.84507	71	0.9375	64	1.7778	67.5
383	22.954	67.962	30.411	73	0	0	30.411	73	31.385	65	1.8182	66	33.202	65.056	13.548	62	8.3077	65	21.844	63.174	3.1579	76	3.5821	67	6.7133	71.5
384	12.703	72.033	20.8	75	0	0	20.8	75	17.273	66	0.78947	76	18.045	66.5	1.6438	73	8.1081	74	9.7517	73.833	2.3684	76	0	0	2.3684	76
385	13.055	81.577	15	88	0.67416	89	15.674	88.043	13.902	82	2.8916	83	16.794	82.174	9.0411	73	7.2	75	16.238	73.9	2.963	81	0.8	75	3.7594	79.8
386	13.191	81.875	20.471	85	0	0	20.471	85	18.228	79	2.2785	79	20.506	79	6.2338	77	4.4444	81	10.672	78.714	0.56075	107	0.68182	88	1.2308	97.5
387	8.6554	84.918	9.7826	92	0.75949	79	10.528	91.188	11.163	86	2.4324	74	13.554	84.105	3.6585	82	5.3846	78	9.0377	79.667	1.6216	74	0	0	1.6216	74
388	12.078	83.209	17.045	88	0	0	17.045	88	16.296	81	0.77922	77	17.074	80.826	3.038	79	7.5949	79	10.633	79	2.25	80	1.4118	85	3.6585	82
389	16.115	75.395	22.963	81	0.86957	69	23.814	80.625	17.027	74	2.4658	73	19.492	73.875	6	70	9.8507	67	15.844	68.167	4.6753	77	0.92308	65	5.5787	75.286
390	15.291	73.573	19.231	78	0	0	19.231	78	21.37	73	0.72289	83	22.08	73.37	6.1765	68	8.0597	67	14.235	67.438	3.2877	73	2.5	72	5.7874	72.571
391	15.41	75.923	19.518	83	0	0	19.518	83	23.143	70	3.6364	66	26.769	69.484	7.3973	73	5.6757	74	13.072	73.438	2.7273	88	0	0	2.7273	88
392	11.614	81.365	14.118	85	0	0	14.118	85	15.366	82	0.77922	77	16.142	81.773	7.8947	76	5.9259	81	13.807	78.222	1.5789	76	0.89552	67	2.4658	73
393	11.138	84.841	12.527	91	0	0	12.527	91	19.286	84	0	0	19.286	84	5.3846	78	6	80	11.383	79.067	1.4815	81	0	0	1.4815	81
394	8.6371	90.308	12.903	93	0	0	12.903	93	12.135	89	0	0	12.135	89	3.2258	93	2.7586	87	5.9779	90.333	0.55046	109	3.0769	78	3.5629	84.2
395	13.561	81.851	16.957	92	0.60606	99	17.559	92.259	16.923	78	0.82192	73	17.742	77.783	6.1538	78	8.3333	72	14.464	74.667	4	75	1.0345	58	4.9885	72.167
396	10.722	82.542	12.527	91	0	0	12.527	91	14.634	82	1.5789	76	16.205	81.455	6.5753	73	4.557	79	11.115	75.571	2.4	75	0.90909	66	3.299	72.75
397	11.352	89.853	11.881	101	0	0	11.881	101	12.414	87	0.73171	82	13.143	86.737	8.6747	83	5.7143	84	14.388	83.4	4.8837	86	1.3953	86	6.2791	86
398	10.589	86.41	12.391	92	0.71429	84	13.1	91.6	15	84	0	0	15	84	3.2258	93	5.3165	79	8.4872	84.833	5.0602	83	0.78947	76	5.8447	82.125
399	13.787	78.333	17.241	87	0	0	17.241	87	17.6	75	2.4	75	20	75	4.8	75	9.4286	70	14.213	71.765	4.0541	74	0	0	4.0541	74
400	12.631	83.129	17.045	88	0.72289	83	17.766	87.808	18.75	80	0	0	18.75	80	3.4884	86	6.8354	79	10.307	81.5	3.7975	79	0	0	3.7975	79
401	8.5932	90.769	10.625	96	0	0	10.625	96	11.461	89	0.6383	94	12.097	89.278	2.0455	88	6.2791	86	8.3237	86.5	2.8235	85	0.58252	103	3.386	88.6
402	7.3893	89.318	7.5789	95	0	0	7.5789	95	11.591	88	0.66667	90	12.257	88.111	2.7586	87	3.6145	83	6.3696	84.778	2.7907	86	0.61856	97	3.4014	88.2
403	15.286	80.463	22.143	84	0	0	22.143	84	20.506	79	1.4815	81	21.987	79.138	7.1053	76	6.8354	79	13.935	77.5	1.5385	78	1.6216	74	3.1579	76
404	15.832	78.639	22.222	81	0	0	22.222	81	20	78	0.85714	70	20.848	77.704	7.2	75	8	75	15.2	75	5.122	82	0	0	5.122	82
405	18.44	74.837	22.597	77	0	0	22.597	77	22.286	70	2.4324	74	24.711	70.414	7.8947	76	6.3158	76	14.211	76	10.633	79	1.7647	68	12.367	77.625
406	13.611	81.554	18.14	86	0	0	18.14	86	18.987	79	0.76923	78	19.756	78.962	7.5949	79	5.4545	77	13.047	78.176	2.069	87	1.5385	78	3.5971	83.4
407	8.7453	90.906	7.7228	101	0	0	7.7228	101	13.696	92	0	0	13.696	92	6.3529	85	1.6667	72	7.9868	82.636	5.7831	83	0	0	5.7831	83
408	12.581	83.457	12.128	94	0.70588	85	12.827	93.55	17.25	80	1.2245	98	18.418	81.44	3.8462	78	8.8	75	12.642	75.938	6.75	80	0	0	6.75	80
409	12.603	83.314	14.157	89	1.3187	91	15.475	89.174	14.25	80	2.069	87	16.305	80.955	6.0759	79	6.75	80	12.825	79.529	4.3902	82	1.5385	78	5.9259	81
410	11.334	87.348	9.6	100	0	0	9.6	100	14.118	85	1.4458	83	15.563	84.818	6.2791	86	3.7037	81	9.9746	84.214	10.5	80	0	0	10.5	80
411	10.584	92.123	12.115	104	0.60606	99	12.72	103.77	14	90	1.3953	86	15.393	89.652	2.6966	89	6.75	80	9.4238	82.769	5.1852	81	0	0	5.1852	81
412	11.758	82.923	12.667	90	0	0	12.667	90	14.458	83	1.4815	81	15.939	82.818	3.7037	81	6.2338	77	9.9314	78.538	7.013	77	1.6667	72	8.6738	76.091
413	10.009	83.929	6.9474	95	0.6383	94	7.5856	94.917	10.714	84	0.75949	79	11.471	83.688	3.7975	79	9.2308	78	13.028	78.294	8.1481	81	0	0	8.1481	81
414	14.788	77.092	17.442	86	0	0	17.442	86	13.151	73	7.6056	71	20.753	72.28	2.25	80	9.5652	69	11.772	71.357	7.013	77	2.5714	70	9.5681	75.25
415	9.794	87.298	12.903	93	0	0	12.903	93	10.465	86	0	0	10.465	86	5.7143	84	2.963	81	8.6747	83	7.2289	83	0	0	7.2289	83
416	10.982	86.048	9.4118	102	0	0	9.4118	102	12.558	86	1.978	91	14.53	86.714	4.6154	78	5.9155	71	10.508	74.231	7.5949	79	2.5352	71	10.11	77.154
417	10.517	82.724	10.787	89	0	0	10.787	89	14.25	80	0.77922	77	15.028	79.85	5.122	82	3.0769	78	8.1941	80.545	6.506	83	1.6667	72	8.1481	81
418	10.044	85.123	12	90	0	0	12	90	9.2857	84	0.69767	86	9.983	84.143	4.3373	83	4.8837	86	9.2182	84.615	6.6667	81	2.4	75	9.0566	79.5
419	11.414	84.109	15.333	90	0.6383	94	15.97	90.167	14.815	81	0.71429	84	15.528	81.143	3.8961	77	6.6667	81	10.557	79.571	2.9268	82	0.82192	73	3.7406	80.2
420	9.4858	88.554	13.895	95	0	0	13.895	95	13.571	84	0.70588	85	14.277	84.05	3.038	79	4	90	7.0093	85.6	2.8916	83	0	0	2.8916	83
421	9.8102	85.625	8.3871	93	0	0	8.3871	93	15.904	83	1.2371	97	17.109	84.167	5.7831	83	2.9268	82	8.7097	82.667	3.6585	82	1.4634	82	5.122	82
422	7.0264	93.932	6.8571	105	0	0	6.8571	105	8.75	96	0	0	8.75	96	4.9412	85	4.4444	81	9.3802	83.154	2.6374	91	0.71429	84	3.3482	89.6
423	9.408	89.286	10.408	98	0	0	10.408	98	11.86	86	1.519	79	13.37	85.263	6.7416	89	0.72289	83	7.4615	88.455	5.0602	83	1.5	80	6.5587	82.333
424	9.3631	89.714	10.968	93	0	0	10.968	93	11.034	87	1.2766	94	12.304	87.778	3.7895	95	4.2353	85	8	90	6.2069	87	0	0	6.2069	87
425	8.1134	86.894	8	90	0	0	8	90	14.651	86	0	0	14.651	86	4.2353	85	5.5814	86	9.8164	85.571	0	0	0	0	0	0
426	9.8986	89.407	9.1837	98	0	0	9.1837	98	12.667	90	2.093	86	14.756	89.455	2.8235	85	7.2289	83	10.051	83.571	4.9412	85	0.83333	72	5.7571	83.375
427	8.5804	89.157	6.7347	98	0	0	6.7347	98	11.591	88	1.3043	92	12.893	88.421	3.5294	85	4.8837	86	8.4129	85.583	3.3333	90	3.0769	78	6.378	84.667
428	10.084	87.763	13.548	93	0	0	13.548	93	12.706	85	0	0	12.706	85	3.871	93	5.25	80	9.0698	86	3.5294	85	1.5789	76	5.0953	82.429
